flag,gender,education,house_val,age,online,customer_psy,occupation,mortgage,region,car_prob,fam_income
Y,M,2. Some College,18394,4_<=45,Y,F,Blue Collar,1Low,South,4,E
Y,M,1. HS,233682,1_Unk,Y,F,Others,1Low,West,3,F
N,M,4. Grad,24799,4_<=45,N,C,Professional,2Med,South,3,F
N,M,1. HS,65465,3_<=35,Y,F,Blue Collar,1Low,Northeast,7,E
N,F,2. Some College,279585,1_Unk,N,D,Retired,1Low,West,2,F
N,F,1. HS,2367,7_>65,Y,D,Retired,1Low,West,4,E
Y,F,3. Bach,56244,7_>65,Y,D,Others,1Low,Midwest,4,D
Y,F,1. HS,351928,4_<=45,Y,G,Sales/Service,1Low,Northeast,9,C
N,F,1. HS,117632,7_>65,Y,E,Retired,1Low,Midwest,6,E
Y,M,1. HS,155117,6_<=65,Y,F,Blue Collar,1Low,Midwest,5,F
Y,M,1. HS,2355,7_>65,Y,D,Retired,1Low,South,4,A
N,F,4. Grad,21359,1_Unk,Y,B,Sales/Service,1Low,Midwest,8,G
Y,M,3. Bach,1417,5_<=55,Y,C,Sales/Service,3High,West,1,C
N,F,2. Some College,,2_<=25,Y,B,Sales/Service,1Low,Midwest,9,D
Y,M,3. Bach,322912,4_<=45,Y,C,Professional,1Low,South,3,F
Y,F,3. Bach,586556,4_<=45,Y,C,Professional,3High,Midwest,1,K
N,M,1. HS,229554,5_<=55,N,E,Blue Collar,1Low,South,4,E
N,F,1. HS,33166,6_<=65,N,I,Sales/Service,1Low,South,8,D
Y,M,4. Grad,112922,3_<=35,Y,J,Professional,1Low,South,6,E
Y,M,4. Grad,222992,1_Unk,N,E,Sales/Service,1Low,South,8,C
N,F,4. Grad,266777,1_Unk,Y,C,Professional,1Low,South,2,K
N,M,2. Some College,9266,7_>65,Y,J,Retired,2Med,South,3,E
N,F,. <HS,4,6_<=65,N,B,Sales/Service,1Low,South,1,F
N,F,. <HS,,2_<=25,N,F,Blue Collar,1Low,South,6,E
N,F,4. Grad,174522,3_<=35,N,B,Sales/Service,1Low,West,5,A
Y,M,1. HS,47692,3_<=35,Y,C,Others,1Low,Rest,8,E
Y,M,2. Some College,19714,7_>65,Y,F,Professional,1Low,South,3,E
Y,M,2. Some College,,4_<=45,Y,J,Blue Collar,1Low,West,3,H
N,F,1. HS,32991,7_>65,Y,J,Retired,1Low,South,5,D
N,M,2. Some College,,2_<=25,N,G,Sales/Service,1Low,South,2,E
Y,F,. <HS,7959,6_<=65,Y,G,Sales/Service,1Low,Northeast,1,B
N,M,2. Some College,75798,3_<=35,N,F,Blue Collar,1Low,Midwest,8,B
Y,M,1. HS,326215,1_Unk,Y,C,Sales/Service,2Med,South,1,K
Y,F,. <HS,25615,4_<=45,Y,C,Sales/Service,1Low,Midwest,2,G
Y,M,2. Some College,158475,1_Unk,Y,E,Sales/Service,1Low,West,3,D
Y,M,4. Grad,,7_>65,Y,D,Professional,1Low,West,5,E
N,F,3. Bach,13265,5_<=55,Y,I,Sales/Service,1Low,Midwest,3,E
Y,M,3. Bach,4917,4_<=45,Y,C,Sales/Service,3High,South,1,H
Y,F,1. HS,,1_Unk,Y,E,Sales/Service,1Low,South,7,D
N,M,4. Grad,19641,3_<=35,N,C,Sales/Service,2Med,West,7,F
Y,M,4. Grad,149984,3_<=35,N,B,Professional,1Low,West,1,E
Y,F,4. Grad,212342,6_<=65,Y,E,Professional,2Med,Midwest,1,F
N,F,2. Some College,142877,3_<=35,N,E,Blue Collar,1Low,Midwest,8,E
Y,M,. <HS,422658,6_<=65,Y,E,Sales/Service,2Med,South,3,G
Y,M,3. Bach,,3_<=35,Y,E,Others,1Low,West,2,D
N,M,2. Some College,9156,1_Unk,N,F,Professional,1Low,Northeast,2,E
Y,F,1. HS,143925,1_Unk,Y,G,Sales/Service,1Low,South,9,C
N,M,3. Bach,58452,1_Unk,Y,B,Professional,1Low,West,1,L
Y,M,1. HS,13288,1_Unk,Y,J,Blue Collar,1Low,South,8,A
N,F,3. Bach,,6_<=65,Y,B,Professional,1Low,South,5,I
Y,M,1. HS,153461,4_<=45,Y,E,Blue Collar,1Low,South,2,F
N,U,1. HS,,5_<=55,N,E,Professional,1Low,Midwest,1,B
N,F,3. Bach,15324,7_>65,Y,B,Sales/Service,3High,West,1,L
Y,M,1. HS,29681,2_<=25,Y,E,Sales/Service,1Low,Northeast,3,G
N,F,3. Bach,,7_>65,Y,D,Retired,1Low,Midwest,2,E
Y,F,3. Bach,,5_<=55,Y,F,Professional,1Low,South,4,E
Y,F,4. Grad,628329,7_>65,Y,B,Professional,1Low,West,2,J
N,M,. <HS,216757,4_<=45,N,G,Blue Collar,1Low,South,3,D
Y,F,2. Some College,,1_Unk,N,G,Sales/Service,1Low,Midwest,5,H
Y,M,4. Grad,436316,5_<=55,N,A,Sales/Service,3High,South,4,G
N,M,2. Some College,,2_<=25,N,F,Sales/Service,1Low,South,7,B
Y,F,3. Bach,1347512,6_<=65,Y,B,Professional,3High,West,1,I
Y,M,4. Grad,38883,5_<=55,Y,B,Professional,3High,Midwest,1,H
N,M,2. Some College,234126,1_Unk,Y,B,Sales/Service,2Med,Midwest,1,E
Y,F,3. Bach,19981,4_<=45,N,F,Professional,1Low,South,1,C
N,F,3. Bach,226611,7_>65,Y,D,Retired,1Low,South,1,C
Y,M,3. Bach,623916,6_<=65,Y,B,Professional,3High,South,1,L
N,F,2. Some College,23181,4_<=45,N,A,Sales/Service,2Med,West,1,K
Y,F,3. Bach,2173,6_<=65,N,I,Professional,1Low,West,2,G
Y,F,2. Some College,6686,4_<=45,Y,B,Professional,3High,Northeast,1,J
Y,M,4. Grad,2352318,6_<=65,Y,B,Professional,1Low,Midwest,1,L
N,M,2. Some College,,3_<=35,Y,F,Blue Collar,1Low,South,4,E
N,F,3. Bach,318454,3_<=35,N,H,Sales/Service,1Low,South,8,D
Y,M,3. Bach,836186,5_<=55,Y,C,Professional,3High,South,1,L
Y,M,3. Bach,,4_<=45,Y,C,Professional,1Low,Midwest,2,E
Y,M,1. HS,,4_<=45,Y,J,Professional,1Low,South,8,E
N,F,4. Grad,1151,3_<=35,N,G,Sales/Service,1Low,Midwest,2,C
N,F,2. Some College,64266,4_<=45,Y,E,Professional,3High,West,1,H
N,F,2. Some College,213456,2_<=25,N,E,Sales/Service,1Low,South,2,G
Y,F,2. Some College,7783,4_<=45,Y,C,Sales/Service,2Med,South,1,H
Y,F,. <HS,,4_<=45,N,G,Sales/Service,1Low,Northeast,5,B
Y,M,. <HS,16448,5_<=55,Y,E,Blue Collar,2Med,Midwest,1,H
Y,M,2. Some College,3829824,6_<=65,Y,B,Sales/Service,3High,West,2,L
Y,M,4. Grad,2398,6_<=65,Y,E,Sales/Service,3High,Midwest,2,E
N,F,2. Some College,326371,4_<=45,N,A,Sales/Service,1Low,West,1,F
N,F,3. Bach,421862,7_>65,Y,C,Sales/Service,1Low,West,2,D
N,F,3. Bach,212789,5_<=55,Y,J,Professional,1Low,Northeast,6,E
Y,F,3. Bach,,1_Unk,Y,B,Professional,1Low,Northeast,8,G
Y,F,2. Some College,28122,2_<=25,N,C,Sales/Service,2Med,Midwest,2,F
N,F,3. Bach,187555,5_<=55,Y,E,Professional,1Low,South,1,I
Y,M,. <HS,171684,5_<=55,N,C,Sales/Service,3High,South,8,E
N,F,. <HS,7324,1_Unk,N,G,Others,1Low,West,9,E
N,M,. <HS,25792,4_<=45,Y,J,Blue Collar,1Low,Midwest,4,A
N,F,2. Some College,132762,1_Unk,Y,F,Sales/Service,1Low,Midwest,5,E
N,F,2. Some College,,1_Unk,Y,G,Blue Collar,1Low,Midwest,9,F
Y,M,3. Bach,242824,3_<=35,Y,C,Professional,1Low,Midwest,3,G
N,F,4. Grad,,3_<=35,Y,H,Blue Collar,1Low,Northeast,5,C
N,M,3. Bach,,3_<=35,Y,H,Others,1Low,Northeast,9,A
N,M,3. Bach,561132,5_<=55,Y,C,Professional,1Low,West,1,L
N,M,1. HS,41965,3_<=35,Y,F,Sales/Service,1Low,West,4,G
N,M,4. Grad,4321,6_<=65,Y,B,Professional,2Med,West,3,H
N,F,2. Some College,25565,6_<=65,N,G,Professional,1Low,South,2,E
Y,F,3. Bach,1676,5_<=55,Y,B,Sales/Service,1Low,Midwest,2,E
N,F,1. HS,152392,7_>65,N,E,Retired,1Low,West,4,E
Y,M,4. Grad,66912,5_<=55,Y,C,Professional,2Med,South,1,I
N,F,1. HS,1224,5_<=55,N,E,Sales/Service,1Low,South,2,C
Y,M,3. Bach,79274,6_<=65,Y,F,Professional,1Low,South,5,H
Y,M,4. Grad,47415,1_Unk,Y,A,Professional,1Low,West,8,C
N,F,1. HS,,6_<=65,Y,H,Sales/Service,1Low,Northeast,5,A
Y,M,3. Bach,24368,1_Unk,Y,C,Sales/Service,2Med,South,7,D
Y,F,1. HS,912766,3_<=35,Y,J,Blue Collar,1Low,West,9,D
N,F,1. HS,1656,7_>65,Y,D,Blue Collar,1Low,Midwest,4,B
N,M,2. Some College,266396,5_<=55,Y,F,Professional,1Low,West,4,A
Y,F,2. Some College,2571,5_<=55,Y,B,Sales/Service,1Low,West,3,G
Y,F,2. Some College,179494,3_<=35,Y,E,Professional,2Med,South,1,A
Y,M,3. Bach,189843,4_<=45,Y,B,Professional,1Low,Midwest,1,G
Y,F,1. HS,495,1_Unk,Y,C,Others,1Low,West,1,G
N,F,1. HS,7194,5_<=55,Y,J,Retired,1Low,South,2,D
N,M,2. Some College,248138,3_<=35,N,C,Professional,1Low,South,1,F
Y,M,2. Some College,174814,3_<=35,N,F,Professional,1Low,South,1,E
Y,F,3. Bach,489192,4_<=45,Y,C,Professional,3High,Midwest,1,L
Y,M,1. HS,736514,4_<=45,Y,B,Professional,1Low,South,1,H
Y,M,1. HS,86611,4_<=45,Y,J,Blue Collar,1Low,South,3,E
N,F,2. Some College,77215,4_<=45,Y,F,Professional,1Low,Midwest,5,D
Y,M,3. Bach,53797,5_<=55,Y,C,Sales/Service,3High,South,1,G
Y,M,3. Bach,135,3_<=35,N,F,Others,1Low,West,3,B
N,F,1. HS,9532,5_<=55,N,D,Sales/Service,1Low,South,9,A
N,F,2. Some College,89532,5_<=55,Y,E,Blue Collar,1Low,Midwest,3,F
Y,M,3. Bach,195787,5_<=55,Y,C,Professional,2Med,West,1,G
Y,M,1. HS,,4_<=45,N,A,Blue Collar,1Low,South,2,K
Y,F,1. HS,126163,5_<=55,Y,I,Sales/Service,1Low,South,2,E
N,M,. <HS,22531,7_>65,N,D,Retired,1Low,South,3,A
Y,F,3. Bach,158895,7_>65,Y,D,Retired,2Med,West,3,F
Y,M,2. Some College,32497,2_<=25,Y,E,Professional,1Low,South,1,E
Y,F,4. Grad,744293,5_<=55,Y,B,Professional,3High,Midwest,1,F
Y,M,4. Grad,3783,5_<=55,Y,C,Professional,2Med,South,2,H
N,M,3. Bach,,1_Unk,Y,I,Sales/Service,1Low,Midwest,4,F
N,F,1. HS,29975,5_<=55,Y,E,Blue Collar,1Low,Midwest,1,G
N,M,2. Some College,46112,4_<=45,N,C,Professional,1Low,Midwest,1,J
Y,F,4. Grad,732861,5_<=55,Y,C,Professional,1Low,South,1,F
N,F,2. Some College,343459,6_<=65,Y,B,Professional,1Low,Midwest,1,E
N,F,2. Some College,,5_<=55,Y,I,Sales/Service,1Low,South,3,C
Y,M,1. HS,387331,3_<=35,Y,C,Professional,3High,South,1,G
N,M,2. Some College,78937,4_<=45,Y,D,Others,1Low,South,3,D
Y,U,3. Bach,947,1_Unk,N,E,Sales/Service,1Low,South,8,D
Y,F,1. HS,357247,6_<=65,Y,B,Professional,2Med,West,4,C
N,F,1. HS,,1_Unk,N,I,Blue Collar,1Low,Midwest,5,A
Y,F,3. Bach,662175,5_<=55,Y,B,Professional,1Low,Northeast,1,K
N,F,2. Some College,265164,2_<=25,Y,B,Sales/Service,1Low,Midwest,3,H
N,F,1. HS,125895,1_Unk,N,F,Sales/Service,1Low,Northeast,2,F
N,U,. <HS,312939,1_Unk,Y,C,Blue Collar,3High,South,4,F
N,M,2. Some College,85739,2_<=25,N,I,Sales/Service,1Low,Midwest,5,D
Y,M,3. Bach,512954,5_<=55,Y,B,Professional,2Med,West,1,G
Y,M,2. Some College,,1_Unk,Y,J,Others,1Low,Midwest,5,E
N,F,. <HS,242525,7_>65,Y,E,Retired,1Low,West,5,E
N,F,1. HS,132212,2_<=25,N,F,Blue Collar,1Low,South,5,D
Y,M,4. Grad,351592,3_<=35,Y,C,Sales/Service,2Med,South,2,J
Y,M,4. Grad,152558,6_<=65,Y,B,Professional,3High,West,1,J
N,F,3. Bach,,4_<=45,Y,J,Sales/Service,1Low,South,1,F
Y,M,1. HS,151564,5_<=55,Y,J,Blue Collar,2Med,South,2,F
N,M,. <HS,151863,1_Unk,N,G,Blue Collar,1Low,South,8,E
N,F,3. Bach,38831,5_<=55,N,D,Professional,3High,South,1,F
Y,F,1. HS,34437,5_<=55,Y,C,Professional,2Med,Northeast,2,F
Y,M,2. Some College,5559,4_<=45,N,B,Blue Collar,2Med,West,1,J
N,M,4. Grad,44472,7_>65,Y,D,Retired,1Low,Northeast,1,C
N,F,3. Bach,,3_<=35,N,E,Professional,1Low,South,3,F
N,M,2. Some College,6275,5_<=55,Y,F,Blue Collar,1Low,Midwest,7,C
N,F,. <HS,9532,1_Unk,N,E,Blue Collar,1Low,West,9,U
Y,M,3. Bach,54936,2_<=25,Y,C,Professional,1Low,Northeast,2,H
Y,F,1. HS,35217,7_>65,Y,E,Retired,1Low,South,1,F
Y,F,3. Bach,33221,5_<=55,Y,B,Professional,3High,Northeast,4,G
N,F,2. Some College,7629,4_<=45,N,F,Blue Collar,1Low,Midwest,6,F
N,F,1. HS,,4_<=45,Y,J,Farm,1Low,Midwest,5,D
N,F,2. Some College,1635,1_Unk,N,E,Sales/Service,1Low,South,9,D
Y,M,2. Some College,221349,3_<=35,Y,C,Professional,2Med,South,3,F
N,F,3. Bach,331578,7_>65,Y,E,Professional,1Low,Northeast,1,A
Y,F,3. Bach,123964,3_<=35,N,J,Professional,1Low,Midwest,4,E
N,U,1. HS,,5_<=55,N,J,Farm,1Low,Midwest,8,B
Y,F,3. Bach,,6_<=65,Y,F,Professional,1Low,Northeast,3,F
Y,M,2. Some College,,1_Unk,Y,G,Sales/Service,1Low,West,5,A
N,M,2. Some College,191517,5_<=55,Y,C,Professional,1Low,South,2,I
N,U,. <HS,76518,1_Unk,Y,G,Blue Collar,1Low,Northeast,7,E
Y,F,4. Grad,68445,6_<=65,Y,B,Retired,1Low,South,1,L
Y,M,3. Bach,174454,5_<=55,Y,C,Sales/Service,1Low,Midwest,3,H
Y,M,2. Some College,275748,4_<=45,N,C,Sales/Service,2Med,South,1,F
Y,M,1. HS,36827,5_<=55,Y,C,Professional,3High,South,2,J
Y,M,1. HS,1329,6_<=65,Y,B,Blue Collar,1Low,Midwest,5,G
Y,F,1. HS,,7_>65,N,G,Retired,1Low,Northeast,9,F
Y,M,2. Some College,52762,4_<=45,N,C,Professional,1Low,Midwest,1,G
N,F,3. Bach,138299,6_<=65,Y,C,Professional,1Low,Midwest,2,I
N,M,4. Grad,73769,3_<=35,N,B,Professional,3High,South,1,L
Y,F,4. Grad,141852,5_<=55,Y,B,Sales/Service,1Low,West,3,H
Y,M,3. Bach,3726252,6_<=65,Y,B,Professional,1Low,Northeast,1,L
N,M,1. HS,332929,5_<=55,Y,B,Blue Collar,1Low,Northeast,8,F
N,F,1. HS,129868,7_>65,Y,E,Retired,1Low,South,6,E
Y,F,1. HS,21425,4_<=45,N,E,Professional,2Med,Northeast,3,D
Y,M,4. Grad,387691,1_Unk,Y,C,Professional,3High,South,1,G
Y,M,1. HS,283167,2_<=25,Y,C,Sales/Service,1Low,Midwest,1,H
Y,M,3. Bach,383287,3_<=35,Y,B,Professional,1Low,Northeast,2,K
N,F,. <HS,,1_Unk,N,F,Sales/Service,1Low,South,8,B
N,F,. <HS,,6_<=65,N,U,Professional,1Low,South,,U
Y,U,,16174,3_<=35,N,G,Sales/Service,1Low,Midwest,3,D
Y,M,3. Bach,,1_Unk,Y,E,Sales/Service,1Low,South,9,D
Y,F,2. Some College,139629,7_>65,Y,H,Sales/Service,1Low,South,1,E
Y,F,. <HS,156469,6_<=65,Y,I,Sales/Service,1Low,South,2,C
N,F,. <HS,44412,5_<=55,Y,E,Blue Collar,1Low,Midwest,2,G
Y,M,2. Some College,344712,4_<=45,Y,E,Blue Collar,1Low,West,1,G
N,M,1. HS,,6_<=65,Y,D,Sales/Service,1Low,Midwest,1,A
Y,F,4. Grad,63533,6_<=65,Y,B,Professional,3High,Northeast,1,B
Y,M,1. HS,21562,6_<=65,Y,B,Retired,1Low,Midwest,1,B
N,M,3. Bach,35286,5_<=55,Y,G,Professional,1Low,South,1,E
Y,M,1. HS,2372,2_<=25,Y,E,Others,1Low,Northeast,6,I
N,M,2. Some College,3741,2_<=25,Y,B,Professional,2Med,Midwest,1,F
N,F,3. Bach,515679,7_>65,Y,B,Retired,3High,Northeast,2,G
N,M,4. Grad,276282,1_Unk,Y,I,Sales/Service,1Low,South,6,G
Y,F,2. Some College,,3_<=35,Y,G,Sales/Service,1Low,West,9,E
N,F,1. HS,17563,1_Unk,N,F,Sales/Service,1Low,South,2,A
N,M,. <HS,24852,1_Unk,Y,F,Professional,1Low,South,4,D
N,F,1. HS,73727,5_<=55,Y,F,Retired,1Low,Midwest,2,C
N,F,1. HS,,4_<=45,N,G,Blue Collar,1Low,South,9,D
Y,M,4. Grad,6822,3_<=35,N,C,Professional,1Low,Midwest,1,I
N,M,. <HS,164291,1_Unk,N,G,Blue Collar,1Low,Northeast,9,K
N,M,1. HS,26868,5_<=55,Y,J,Blue Collar,1Low,Midwest,5,D
N,F,2. Some College,28435,4_<=45,Y,C,Professional,1Low,West,7,E
Y,F,1. HS,95527,1_Unk,Y,E,Blue Collar,1Low,Northeast,1,G
N,M,4. Grad,1928798,7_>65,N,B,Retired,3High,West,1,F
Y,M,3. Bach,35924,5_<=55,Y,C,Professional,2Med,West,1,F
N,M,4. Grad,,1_Unk,N,G,Professional,1Low,Midwest,9,B
Y,M,4. Grad,258984,3_<=35,Y,C,Blue Collar,3High,Northeast,1,B
Y,M,2. Some College,565137,4_<=45,Y,B,Blue Collar,3High,Midwest,1,I
N,F,4. Grad,,1_Unk,Y,C,Professional,1Low,West,3,E
Y,M,2. Some College,13593,3_<=35,Y,F,Professional,1Low,Northeast,2,E
N,M,2. Some College,223886,7_>65,N,D,Retired,1Low,South,2,B
N,M,1. HS,2165,7_>65,N,D,Retired,1Low,South,8,B
Y,F,3. Bach,452655,6_<=65,Y,B,Professional,1Low,South,1,F
N,M,4. Grad,78675,6_<=65,Y,J,Sales/Service,1Low,South,1,B
N,F,1. HS,27264,6_<=65,Y,I,Professional,1Low,West,2,G
Y,F,2. Some College,5826,5_<=55,N,C,Professional,1Low,Northeast,1,H
Y,M,3. Bach,337758,3_<=35,Y,B,Sales/Service,1Low,South,2,F
Y,M,2. Some College,262711,1_Unk,Y,F,Sales/Service,1Low,West,2,E
Y,F,1. HS,216168,1_Unk,N,H,Professional,1Low,Northeast,7,E
N,M,. <HS,193533,4_<=45,Y,J,Sales/Service,1Low,Midwest,3,F
N,F,. <HS,,6_<=65,Y,I,Sales/Service,1Low,West,5,E
N,F,1. HS,185561,5_<=55,Y,B,Professional,1Low,Northeast,3,G
N,F,2. Some College,,1_Unk,N,E,Professional,1Low,South,2,G
N,F,2. Some College,,3_<=35,N,G,Sales/Service,1Low,South,7,D
N,F,2. Some College,3495,3_<=35,N,J,Blue Collar,1Low,West,8,A
N,F,1. HS,96792,5_<=55,N,J,Sales/Service,1Low,Northeast,5,E
N,M,1. HS,169113,2_<=25,Y,C,Professional,1Low,South,2,F
N,M,1. HS,583695,2_<=25,Y,B,Sales/Service,2Med,Northeast,1,K
Y,F,2. Some College,18111,5_<=55,Y,B,Professional,1Low,South,3,F
Y,M,3. Bach,4875,4_<=45,N,E,Professional,1Low,West,2,E
N,M,1. HS,94176,6_<=65,Y,F,Sales/Service,1Low,South,4,F
Y,F,4. Grad,28616,6_<=65,Y,B,Professional,1Low,Northeast,1,H
N,M,,2211,2_<=25,N,E,Blue Collar,1Low,South,7,A
Y,M,2. Some College,293874,5_<=55,Y,E,Sales/Service,2Med,South,4,F
N,M,2. Some College,,7_>65,N,E,Retired,1Low,South,2,D
Y,M,3. Bach,843315,6_<=65,Y,B,Professional,3High,South,1,L
N,M,4. Grad,141264,7_>65,Y,D,Professional,1Low,Northeast,2,D
N,M,4. Grad,5224,7_>65,Y,F,Professional,1Low,West,4,E
Y,M,3. Bach,343153,4_<=45,Y,B,Blue Collar,2Med,Midwest,2,H
N,U,1. HS,15513,1_Unk,N,I,Others,1Low,South,8,E
Y,F,1. HS,122952,7_>65,Y,H,Retired,1Low,Northeast,3,C
Y,F,3. Bach,32119,1_Unk,N,I,Professional,2Med,Rest,1,E
N,F,1. HS,148511,7_>65,Y,D,Retired,1Low,Midwest,2,D
N,M,2. Some College,225891,2_<=25,Y,D,Others,1Low,South,4,E
N,M,2. Some College,,2_<=25,N,E,Sales/Service,1Low,Midwest,9,D
Y,F,4. Grad,51618,4_<=45,N,A,Professional,3High,South,3,I
Y,F,2. Some College,46797,5_<=55,N,B,Professional,1Low,Northeast,5,K
N,F,. <HS,,3_<=35,N,F,Blue Collar,1Low,South,6,C
Y,M,3. Bach,,1_Unk,Y,E,Professional,1Low,Midwest,7,G
N,F,3. Bach,19813,4_<=45,Y,C,Professional,2Med,West,2,G
Y,M,2. Some College,19636,7_>65,Y,D,Professional,1Low,South,3,E
Y,M,. <HS,,1_Unk,Y,G,Blue Collar,1Low,West,9,C
Y,M,3. Bach,,1_Unk,N,E,Professional,1Low,West,7,D
N,F,3. Bach,42843,7_>65,Y,B,Retired,1Low,West,6,E
Y,F,4. Grad,67953,5_<=55,Y,C,Professional,3High,South,1,L
Y,F,1. HS,585411,5_<=55,Y,E,Others,1Low,West,1,H
N,M,. <HS,,7_>65,Y,H,Retired,1Low,Midwest,5,F
N,M,3. Bach,198728,6_<=65,Y,B,Professional,2Med,Midwest,1,I
N,M,2. Some College,198717,3_<=35,Y,C,Blue Collar,1Low,South,4,F
N,M,1. HS,382546,5_<=55,Y,B,Sales/Service,2Med,West,3,F
Y,F,1. HS,67884,5_<=55,Y,J,Sales/Service,1Low,South,4,E
Y,M,1. HS,167713,1_Unk,Y,C,Sales/Service,1Low,South,3,F
Y,F,3. Bach,2398,3_<=35,N,E,Professional,3High,West,1,D
N,F,2. Some College,22725,5_<=55,Y,F,Professional,1Low,South,3,E
N,F,1. HS,31283,7_>65,N,D,Retired,1Low,South,1,A
Y,F,2. Some College,331677,2_<=25,Y,C,Professional,3High,West,1,I
Y,M,1. HS,424228,1_Unk,Y,C,Professional,1Low,West,2,G
Y,M,3. Bach,2145992,7_>65,Y,B,Retired,1Low,Northeast,1,C
Y,M,4. Grad,7683,5_<=55,Y,C,Professional,2Med,South,1,K
N,F,2. Some College,11118,6_<=65,Y,I,Professional,1Low,Midwest,2,E
Y,F,2. Some College,36856,3_<=35,Y,B,Professional,3High,South,2,J
N,M,2. Some College,,2_<=25,Y,J,Others,1Low,South,3,E
Y,M,4. Grad,,4_<=45,Y,E,Professional,1Low,West,3,I
Y,F,4. Grad,18482,4_<=45,Y,C,Professional,1Low,Midwest,1,F
Y,M,3. Bach,872,3_<=35,N,F,Sales/Service,1Low,Midwest,9,D
Y,F,3. Bach,376943,4_<=45,Y,C,Professional,2Med,South,1,J
N,F,1. HS,336243,5_<=55,Y,B,Sales/Service,1Low,Northeast,2,E
N,M,,,1_Unk,N,G,Others,1Low,Rest,5,A
Y,M,. <HS,315882,7_>65,Y,C,Retired,2Med,Midwest,1,F
N,M,1. HS,,5_<=55,N,J,Blue Collar,1Low,Midwest,8,B
Y,M,1. HS,457189,6_<=65,Y,B,Sales/Service,1Low,Northeast,2,C
Y,F,3. Bach,121774,4_<=45,Y,H,Sales/Service,1Low,South,1,G
N,F,1. HS,,1_Unk,Y,G,Sales/Service,1Low,West,9,C
Y,M,. <HS,126516,7_>65,Y,I,Retired,1Low,South,4,C
N,M,4. Grad,23862,5_<=55,Y,J,Sales/Service,1Low,Midwest,1,E
N,F,1. HS,286942,5_<=55,Y,C,Professional,2Med,Northeast,1,K
N,M,2. Some College,159314,4_<=45,Y,D,Others,1Low,South,3,D
Y,M,4. Grad,229761,3_<=35,N,C,Professional,2Med,South,1,F
N,F,1. HS,219744,3_<=35,Y,I,Professional,1Low,West,2,E
Y,F,. <HS,238313,5_<=55,Y,E,Blue Collar,2Med,South,1,E
Y,M,3. Bach,17179,3_<=35,Y,C,Sales/Service,2Med,South,3,E
Y,M,3. Bach,1545,6_<=65,Y,E,Professional,1Low,Midwest,5,H
Y,M,4. Grad,46364,4_<=45,Y,C,Professional,3High,South,1,G
Y,M,3. Bach,47932,2_<=25,Y,C,Sales/Service,2Med,South,7,F
Y,M,2. Some College,,5_<=55,Y,E,Sales/Service,1Low,South,5,G
Y,M,2. Some College,62482,4_<=45,Y,G,Professional,3High,Northeast,1,D
Y,M,4. Grad,18959,6_<=65,N,I,Professional,1Low,Midwest,8,D
N,U,2. Some College,64514,1_Unk,N,B,Sales/Service,3High,West,1,I
Y,M,4. Grad,4875,6_<=65,Y,B,Professional,3High,Midwest,1,J
N,F,2. Some College,322596,2_<=25,N,B,Sales/Service,2Med,Northeast,2,E
N,F,. <HS,16884,6_<=65,N,I,Retired,1Low,South,2,D
N,F,1. HS,12739,1_Unk,N,G,Blue Collar,1Low,Midwest,9,A
Y,F,2. Some College,,1_Unk,Y,A,Sales/Service,1Low,West,9,A
N,M,2. Some College,257911,1_Unk,N,G,Blue Collar,1Low,South,7,A
Y,F,4. Grad,,3_<=35,N,A,Professional,1Low,Midwest,3,F
N,U,3. Bach,44844,5_<=55,Y,C,Sales/Service,1Low,Midwest,6,F
N,M,2. Some College,971,6_<=65,Y,E,Sales/Service,1Low,South,5,H
N,F,1. HS,,7_>65,Y,D,Retired,1Low,Midwest,7,G
N,F,1. HS,13135,5_<=55,Y,F,Professional,1Low,Midwest,4,C
N,F,2. Some College,149387,1_Unk,Y,C,Sales/Service,1Low,South,5,E
N,F,2. Some College,373152,5_<=55,Y,B,Blue Collar,1Low,West,3,F
N,M,2. Some College,66963,4_<=45,N,E,Blue Collar,1Low,West,3,G
Y,F,2. Some College,7728,3_<=35,N,C,Sales/Service,1Low,Midwest,8,E
Y,F,1. HS,1717548,5_<=55,Y,C,Sales/Service,3High,South,1,H
Y,F,3. Bach,235658,6_<=65,Y,D,Retired,1Low,Northeast,3,F
N,F,3. Bach,284577,5_<=55,Y,B,Professional,1Low,West,2,H
Y,M,. <HS,2262622,1_Unk,N,A,Professional,1Low,Northeast,6,L
N,F,2. Some College,27728,6_<=65,Y,B,Sales/Service,1Low,Northeast,2,F
Y,M,3. Bach,3765,6_<=65,Y,E,Professional,3High,Northeast,2,D
Y,M,2. Some College,363885,1_Unk,Y,F,Professional,1Low,West,2,E
N,F,4. Grad,93833,6_<=65,N,D,Professional,1Low,South,1,E
Y,M,3. Bach,288141,5_<=55,Y,A,Sales/Service,1Low,South,1,C
Y,F,3. Bach,149166,4_<=45,Y,B,Professional,3High,South,3,F
Y,F,2. Some College,38913,5_<=55,Y,B,Professional,1Low,West,2,I
Y,M,2. Some College,115823,3_<=35,N,F,Blue Collar,1Low,South,4,E
Y,U,. <HS,151262,1_Unk,N,E,Sales/Service,2Med,Midwest,7,E
Y,F,1. HS,11544,4_<=45,Y,E,Blue Collar,1Low,Midwest,5,E
Y,F,1. HS,185768,7_>65,Y,D,Retired,1Low,South,6,H
N,M,3. Bach,174182,3_<=35,N,B,Blue Collar,2Med,South,7,E
